"neighbourhood","Count","Mean","SD","SE","Lower95","Upper95"
"Bay Village",98,747.067653061225,722.889769453845,73.0228940044562,602.137422220739,891.99788390171
"Longwood Medical Area",23,620.353043478261,243.879420959598,50.8523745619693,514.891673435225,725.814413521297
"South Boston",146,476.905,396.338283659474,32.8011897435137,412.074774865696,541.735225134304
"North End",99,441.531616161616,280.777279041472,28.2191783102267,385.531575212,497.531657111233
"Downtown",287,439.986864111498,281.161688562483,16.5964497185063,407.32018406957,472.653544153427
"South Boston Waterfront",67,439.869104477612,250.624642804741,30.6186733534527,378.736950704585,501.001258250639
"Charlestown",65,423.583846153846,394.502419493897,48.9320028967261,325.830932921897,521.336759385795
"Chinatown",37,421.478648648649,580.041659045864,95.3582613420594,228.083130876892,614.874166420405
"Back Bay",269,415.718215613383,328.943961404622,20.0560672984924,376.230723755084,455.205707471682
"South End",241,387.869045643154,288.077529505806,18.5567049548346,351.314236437809,424.423854848498
"Fenway",194,374.88587628866,214.642623669811,15.4104422850858,344.491372831763,405.280379745557
"East Boston",194,364.198350515464,408.421572858902,29.3229600389538,306.363747602542,422.032953428385
"West Roxbury",83,362.093373493976,458.908008929036,50.3716980034379,261.888019901258,462.298727086694
"Mattapan",68,304.503529411765,226.112992522228,27.4202279851072,249.772525284213,359.234533539317
"Jamaica Plain",152,302.930855263158,272.917821568558,22.1365584333817,259.19346693345,346.668243592866
"Allston",141,300.312624113475,236.06100767037,19.8799231098501,261.008948182649,339.616300044301
"Dorchester",533,282.49808630394,327.629535619487,14.1912104902537,254.62040225314,310.37577035474
"West End",29,280.999655172414,204.095884144872,37.8996542268263,203.365732782612,358.633577562215
"Roxbury",274,262.427627737226,248.044036036009,14.984888228814,232.927003857591,291.928251616861
"Brighton",254,260.554724409449,211.607070717383,13.2774084929903,234.406397883924,286.703050934973
"Beacon Hill",198,252.455252525253,228.311346531468,16.225380877541,220.457519081583,284.452985968922
"Hyde Park",74,239.932702702703,155.307979368766,18.0541858796928,203.950762134194,275.914643271212
"Mission Hill",69,239.777536231884,186.951796920441,22.5063515581848,194.866810937689,284.688261526079
"Roslindale",94,232.789893617021,174.669785112284,18.0158127444267,197.014059982224,268.565727251818
"Leather District",4,214.175,126.240431584602,63.1202157923012,13.2983024630808,415.051697536919
